DAYS,DATE,WBHP:INJ,WBHP:PROD,WGIR:INJ,WGIR:PROD,WGIT:INJ,WGIT:PROD,WGPR:INJ,WGPR:PROD,WGPT:INJ,WGPT:PROD,WOIR:INJ,WOIR:PROD,WOIT:INJ,WOIT:PROD,WOPR:INJ,WOPR:PROD,WOPT:INJ,WOPT:PROD,WWIR:INJ,WWIR:PROD,WWIT:INJ,WWIT:PROD,WWPR:INJ,WWPR:PROD,WWPT:INJ,WWPT:PROD
   0.00,01-Jan-2017,3700,3564,3.05119e-11,0,0,0,0,0,0,0,5.4344e-09,0,0,0,0,3000,0,0,5.4344e-09,0,0,0,0,3000,0,0
 100.00,11-Apr-2017,3700,3586.27,0,0,0,-333784,0,3337.84,0,333784,0,0,0,-239893,0,2398.93,0,239893,3287.57,0,328757,-60106.9,0,601.069,-328757,60106.9
 200.00,20-Jul-2017,3700,3566.33,0,0,0,-596703,0,2629.18,0,596703,0,0,0,-428812,0,1889.19,0,428812,3202.8,0,649037,-171188,0,1110.81,-649037,171188
 300.00,28-Oct-2017,3700,3554.52,0,0,0,-808777,0,2120.74,0,808777,0,0,0,-581176,0,1523.64,0,581176,3161.46,0,965183,-318824,0,1476.36,-965183,318824
 400.00,05-Feb-2018,3700,3549.12,0,0,0,-986277,0,1775,0,986277,0,0,0,-708691,0,1275.16,0,708691,3136.17,0,1.2788e+06,-491309,0,1724.84,-1.2788e+06,491309
 500.00,16-May-2018,3700,3547.58,0,0,0,-1.13967e+06,0,1533.89,0,1.13967e+06,0,0,0,-818900,0,1102.09,0,818900,3120.3,0,1.59083e+06,-681100,0,1897.91,-1.59083e+06,681100
 600.00,24-Aug-2018,3700,3548.04,0,0,0,-1.27637e+06,0,1367.01,0,1.27637e+06,0,0,0,-917117,0,982.171,0,917117,3106.02,0,1.90143e+06,-882883,0,2017.83,-1.90143e+06,882883
 700.00,02-Dec-2018,3700,3548.75,0,0,0,-1.40051e+06,0,1241.47,0,1.40051e+06,0,0,0,-1.00631e+06,0,891.947,0,1.00631e+06,3099.07,0,2.21134e+06,-1.09369e+06,0,2108.05,-2.21134e+06,1.09369e+06
 800.00,12-Mar-2019,3700,3549.44,0,0,0,-1.51449e+06,0,1139.77,0,1.51449e+06,0,0,0,-1.0882e+06,0,818.861,0,1.0882e+06,3086.85,0,2.52002e+06,-1.3118e+06,0,2181.14,-2.52002e+06,1.3118e+06
 900.00,20-Jun-2019,3700,3550.17,0,0,0,-1.62018e+06,0,1056.85,0,1.62018e+06,0,0,0,-1.16412e+06,0,759.261,0,1.16412e+06,3079.98,0,2.82802e+06,-1.53588e+06,0,2240.74,-2.82802e+06,1.53588e+06
1000.00,28-Sep-2019,3700,3550.92,0,0,0,-1.71899e+06,0,988.144,0,1.71899e+06,0,0,0,-1.23511e+06,0,709.886,0,1.23511e+06,3075.5,0,3.13557e+06,-1.76489e+06,0,2290.11,-3.13557e+06,1.76489e+06
1100.00,06-Jan-2020,3700,3551.59,0,0,0,-1.81182e+06,0,928.306,0,1.81182e+06,0,0,0,-1.3018e+06,0,666.88,0,1.3018e+06,3070.69,0,3.44264e+06,-1.9982e+06,0,2333.12,-3.44264e+06,1.9982e+06
1200.00,15-Apr-2020,3700,3552.2,0,0,0,-1.8995e+06,0,876.771,0,1.8995e+06,0,0,0,-1.36479e+06,0,629.844,0,1.36479e+06,3066.82,0,3.74932e+06,-2.23521e+06,0,2370.16,-3.74932e+06,2.23521e+06
1300.00,24-Jul-2020,3700,3552.74,0,0,0,-1.98267e+06,0,831.739,0,1.98267e+06,0,0,0,-1.42453e+06,0,597.482,0,1.42453e+06,3063.44,0,4.05567e+06,-2.47547e+06,0,2402.52,-4.05567e+06,2.47547e+06
1400.00,01-Nov-2020,3700,3553.24,0,0,0,-2.06188e+06,0,792.039,0,2.06188e+06,0,0,0,-1.48143e+06,0,568.952,0,1.48143e+06,3060.33,0,4.3617e+06,-2.71857e+06,0,2431.05,-4.3617e+06,2.71857e+06
1500.00,09-Feb-2021,3700,3553.66,0,0,0,-2.13754e+06,0,756.686,0,2.13754e+06,0,0,0,-1.53578e+06,0,543.549,0,1.53578e+06,3062.86,0,4.66799e+06,-2.96422e+06,0,2456.45,-4.66799e+06,2.96422e+06
