DAYS,DATE,WBHP:INJ,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWIR:INJ,WWIT:INJ,WWPR:PROD,WWPT:PROD
   0.00,01-Jan-2017,3700,3564,-0,-0,3000,0,5.4344e-09,0,3000,0
 100.00,11-Apr-2017,3700,3586.27,3337.84,333784,2398.93,239893,3287.57,328757,601.069,60106.9
 200.00,20-Jul-2017,3700,3566.33,2629.18,596703,1889.19,428812,3202.8,649037,1110.81,171188
 300.00,28-Oct-2017,3700,3554.52,2120.74,808777,1523.64,581176,3161.46,965183,1476.36,318824
 400.00,05-Feb-2018,3700,3549.12,1775,986277,1275.16,708691,3136.17,1.2788e+06,1724.84,491309
 500.00,16-May-2018,3700,3547.59,1533.9,1.13967e+06,1102.1,818901,3119.01,1.5907e+06,1897.9,681099
 600.00,24-Aug-2018,3700,3548.04,1367.03,1.27637e+06,982.186,917120,3106.02,1.9013e+06,2017.81,882880
 700.00,02-Dec-2018,3700,3548.75,1241.49,1.40052e+06,891.96,1.00632e+06,3099.07,2.21121e+06,2108.04,1.09368e+06
 800.00,12-Mar-2019,3700,3549.44,1139.78,1.5145e+06,818.873,1.0882e+06,3086.84,2.51989e+06,2181.13,1.3118e+06
 900.00,20-Jun-2019,3700,3550.17,1056.86,1.62018e+06,759.271,1.16413e+06,3079.98,2.82789e+06,2240.73,1.53587e+06
1000.00,28-Sep-2019,3700,3550.92,988.157,1.719e+06,709.895,1.23512e+06,3075.5,3.13544e+06,2290.11,1.76488e+06
1100.00,06-Jan-2020,3700,3551.59,928.318,1.81183e+06,666.888,1.30181e+06,3070.69,3.44251e+06,2333.11,1.99819e+06
1200.00,15-Apr-2020,3700,3552.2,876.782,1.89951e+06,629.851,1.36479e+06,3066.82,3.74919e+06,2370.15,2.23521e+06
1300.00,24-Jul-2020,3700,3552.74,831.748,1.98268e+06,597.489,1.42454e+06,3063.44,4.05554e+06,2402.51,2.47546e+06
1400.00,01-Nov-2020,3700,3553.24,792.047,2.06189e+06,568.958,1.48144e+06,3060.33,4.36157e+06,2431.04,2.71856e+06
1500.00,09-Feb-2021,3700,3553.66,756.694,2.13756e+06,543.554,1.53579e+06,3062.86,4.66786e+06,2456.45,2.96421e+06
