DAYS,DATE,FOPR,FOPT,WBHP:INJ,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWIR:INJ,WWIT:INJ,WWPR:PROD,WWPT:PROD
   0.00,01-Jan-2017,3000,0,3700,3564,-0,-0,3000,0,5.4344e-09,0,3000,0
 100.00,11-Apr-2017,2689.26,268926,3700,3654.01,3741.02,374102,2689.26,268926,3318.3,331830,310.743,31074.3
 200.00,20-Jul-2017,2304.33,499359,3700,3644.21,3206.38,694740,2304.33,499359,3245.26,656355,695.666,100641
 300.00,28-Oct-2017,1951.12,694471,3700,3638.47,2715.3,966270,1951.12,694471,3209.31,977286,1048.88,205529
 400.00,05-Feb-2018,1660.62,860533,3700,3634.5,2311.3,1.1974e+06,1660.62,860533,3176.65,1.29495e+06,1339.38,339467
 500.00,16-May-2018,1430.89,1.00362e+06,3700,3631.51,1991.72,1.39657e+06,1430.89,1.00362e+06,3155.16,1.61047e+06,1569.11,496378
 600.00,24-Aug-2018,1256.09,1.12923e+06,3700,3630.36,1748.48,1.57142e+06,1256.09,1.12923e+06,3133.4,1.92381e+06,1743.91,670769
 700.00,02-Dec-2018,1116.03,1.24083e+06,3700,3629.93,1553.56,1.72678e+06,1116.03,1.24083e+06,3118.77,2.23568e+06,1883.97,859166
 800.00,12-Mar-2019,1005.78,1.34141e+06,3700,3630.01,1400.12,1.86679e+06,1005.78,1.34141e+06,3107.67,2.54645e+06,1994.22,1.05859e+06
 900.00,20-Jun-2019,925.899,1.434e+06,3700,3630.32,1288.94,1.99568e+06,925.899,1.434e+06,3100.14,2.85647e+06,2074.1,1.266e+06
1000.00,28-Sep-2019,858.176,1.51982e+06,3700,3630.64,1194.68,2.11515e+06,858.176,1.51982e+06,3090.78,3.16554e+06,2141.82,1.48018e+06
1100.00,06-Jan-2020,800.169,1.59984e+06,3700,3630.95,1113.93,2.22654e+06,800.169,1.59984e+06,3084.79,3.47402e+06,2199.83,1.70016e+06
1200.00,15-Apr-2020,751.025,1.67494e+06,3700,3631.28,1045.53,2.3311e+06,751.025,1.67494e+06,3079.62,3.78198e+06,2248.98,1.92506e+06
1300.00,24-Jul-2020,706.92,1.74563e+06,3700,3631.58,984.135,2.42951e+06,706.92,1.74563e+06,3075.05,4.08949e+06,2293.08,2.15437e+06
1400.00,01-Nov-2020,667.549,1.81239e+06,3700,3631.85,929.331,2.52244e+06,667.549,1.81239e+06,3070.8,4.39657e+06,2332.45,2.38761e+06
1500.00,09-Feb-2021,632.445,1.87563e+06,3700,3632.09,880.468,2.61049e+06,632.445,1.87563e+06,3067.07,4.70328e+06,2367.55,2.62437e+06
